area_id,area_name,分钟,enemy_band,power_ratio_min,power_ratio_max,target_power_min,target_power_max,target_turns_min,target_turns_max,target_win_rate_min,target_win_rate_max,design_note
mist_forest,雾隐林,3,weak,0.55,0.7,55,70,2,3,0.9,0.98,教学与低压刷怪
mist_forest,雾隐林,3,normal,0.8,0.95,80,95,3,5,0.7,0.9,新手期主要敌人
mist_forest,雾隐林,5,strong,1.05,1.2,168,192,5,7,0.55,0.75,提醒玩家强化或用药
mist_forest,雾隐林,8,elite,1.4,1.7,336,408,6,10,0.4,0.65,第一区域精英挑战
mist_forest,雾隐林,10,boss,2.2,3,792,1080,8,15,0.2,0.4,裸打危险准备后可过
spirit_cave,灵脉洞,8,weak,0.55,0.7,286,364,2,3,0.9,0.98,突破期低压资源点
spirit_cave,灵脉洞,10,normal,0.8,0.95,416,494,3,5,0.7,0.9,筑基前主要刷怪
spirit_cave,灵脉洞,12,strong,1.05,1.2,756,864,5,7,0.55,0.75,需要构筑支撑
spirit_cave,灵脉洞,14,elite,1.4,1.7,1344,1632,6,10,0.4,0.65,筑基门槛前压力
spirit_cave,灵脉洞,15,boss,2.2,3,3520,4800,8,15,0.2,0.4,筑基前阶段Boss
