day,phase_id,phase_name,realm_id,target_power,actual_power,target_hp,target_atk,target_def,growth_feedback_min,stage_goal,validation_note
1,newbie,新手期,qi_1,100,,110,18,12,1-3,学会修炼并击败普通敌人,10分钟内至少3次成长反馈
2,entry,入门期,qi_2,160,,145,26,17,2-4,稳定刷第一区域,普通怪胜率70%-90%
3,pressure,压力期,qi_3,240,,190,36,24,3-5,第一次资源取舍,开始需要丹药或装备
4,build,构筑期,qi_4,360,,250,50,34,5-8,形成一套主要战斗方案,精英怪胜率40%-65%
5,breakthrough,突破期,qi_5,520,,330,70,48,8-12,准备第一次大突破,大目标时间45-90分钟
6,post_breakthrough,突破后,qi_6,720,,430,94,66,10-15,解锁新区域或高阶事件,普通内容不应继续卡玩家
7,challenge,挑战期,qi_7,960,,560,124,88,12-18,挑战强敌或Boss,Boss准备后胜率60%以上
8,late_qi,炼气后期,qi_8,1250,,720,160,116,15-22,冲刺筑基资源,资源压力来自选择而非纯等待
9,foundation_gate,筑基门槛,qi_9,1600,,920,205,150,20-30,完成筑基前置目标,失败损失不超过5分钟普通进度
10,foundation_start,筑基初期,foundation_early,2100,,1180,265,195,25-40,进入筑基循环,新阶段敌人重新形成压力
